,run,epoch,loss,valid_loss,test_loss,decision_loss,epoch duration,run duration,lr,batch_size,likelihood_fn,dropout_rate,random_noise,k,model_arch
30,31,1,1.6486230019973702,1.4477258827537298,1.291565846349742,1.4477258827537298,0.6356806755065918,0.6357388496398926,0.001,32,bgmm,0,0,0,"('MLP', [50, 50])"
31,32,1,1.5733841535668955,1.2714490214870735,1.454502482499395,1.2714490214870735,0.6176249980926514,0.6176719665527344,0.001,32,bgmm,0,0,1,"('MLP', [50, 50])"
32,33,1,1.5231485769916804,1.2677567036483774,1.6824022260935683,1.2677567036483774,0.625124454498291,0.6251821517944336,0.001,32,bgmm,0,0,2,"('MLP', [50, 50])"
33,34,1,1.6114242359119304,1.2798640302128412,1.477316865697503,1.2798640302128412,0.6616561412811279,0.6617119312286377,0.001,32,bgmm,0,0,3,"('MLP', [50, 50])"
34,35,1,1.5508915858609336,1.22479781523651,1.5130661513124193,1.22479781523651,0.717710018157959,0.717766523361206,0.001,32,bgmm,0,0,4,"('MLP', [50, 50])"
35,36,1,1.5414174330407295,1.2935233072123744,1.6315706269372077,1.2935233072123744,0.6687469482421875,0.6688079833984375,0.001,32,bgmm,0,0,5,"('MLP', [50, 50])"
36,37,1,1.6604608847413744,1.427104953168468,1.0879050736364566,1.427104953168468,0.6816282272338867,0.6816861629486084,0.001,32,bgmm,0,0,6,"('MLP', [50, 50])"
37,38,1,1.5624274220959893,1.2779716947539286,1.4246595293283462,1.2779716947539286,0.6963415145874023,0.6963901519775391,0.001,32,bgmm,0,0,7,"('MLP', [50, 50])"
38,39,1,1.5750723039110501,1.2989901356737723,1.4084191833888846,1.2989901356737723,0.7066652774810791,0.7067193984985352,0.001,32,bgmm,0,0,8,"('MLP', [50, 50])"
39,40,1,1.5875929936149416,1.2920454361222007,1.366389530301094,1.2920454361222007,0.6528360843658447,0.6528947353363037,0.001,32,bgmm,0,0,9,"('MLP', [50, 50])"
40,41,1,1.132005282958229,1.0221059624519613,0.9854835497366415,1.0221059624519613,0.655205488204956,0.655266523361206,0.001,32,bernoulli_lognormal,0,0,0,"('MLP', [50, 50])"
41,42,1,1.1466405966195716,0.9467269072139805,1.1178708438362395,0.9467269072139805,0.6431591510772705,0.6432492733001709,0.001,32,bernoulli_lognormal,0,0,1,"('MLP', [50, 50])"
42,43,1,1.1180723989621186,0.9444296341389418,1.247895953294478,0.9444296341389418,0.6083657741546631,0.608428955078125,0.001,32,bernoulli_lognormal,0,0,2,"('MLP', [50, 50])"
43,44,1,1.1494473157560123,0.9419070407748222,1.1490437773366768,0.9419070407748222,0.6494929790496826,0.6495685577392578,0.001,32,bernoulli_lognormal,0,0,3,"('MLP', [50, 50])"
44,45,1,1.1555433145591192,0.9203240007010042,1.070924196924482,0.9203240007010042,0.6772348880767822,0.6773018836975098,0.001,32,bernoulli_lognormal,0,0,4,"('MLP', [50, 50])"
45,46,1,1.1583166811777197,0.9644215791062876,1.069416867125602,0.9644215791062876,0.6484949588775635,0.6485588550567627,0.001,32,bernoulli_lognormal,0,0,5,"('MLP', [50, 50])"
46,47,1,1.1690441490922656,1.043722253800793,0.7871012009288135,1.043722253800793,0.6486685276031494,0.6487350463867188,0.001,32,bernoulli_lognormal,0,0,6,"('MLP', [50, 50])"
47,48,1,1.1852352023124695,0.9640874844044447,1.2146277599036694,0.9640874844044447,0.6636028289794922,0.6636679172515869,0.001,32,bernoulli_lognormal,0,0,7,"('MLP', [50, 50])"
48,49,1,1.1533898663189677,0.952018825252625,0.9298068181212459,0.952018825252625,0.6758263111114502,0.6758911609649658,0.001,32,bernoulli_lognormal,0,0,8,"('MLP', [50, 50])"
49,50,1,1.1651819535261074,0.9389882998710329,1.0243270948529244,0.9389882998710329,0.6410388946533203,0.6411030292510986,0.001,32,bernoulli_lognormal,0,0,9,"('MLP', [50, 50])"
